ID,Epic,Task,Description,Dependency,Priority,Suggested Owner,Acceptance Criteria,Estimated Complexity,Status,Source or Decision Reference
M0-001,Repository Foundation,Scaffold Python 3.11 project,"Create the public src-layout package, pyproject, README, licence, ignore rules and CLI entry point.",None,Critical,Claude Code,Clean install on Python 3.11; `minibench-bot --help` works; no secrets or generated data tracked.,S,Done,D14; CODEX_HANDOFF First GitHub issue
M0-002,Repository Foundation,Pin runtime dependencies,Pin forecasting-tools 0.2.92 and test/runtime dependencies; add an explicit upgrade check.,M0-001,Critical,Claude Code,Lock resolves on Python 3.11; installed package reports 0.2.92; CI fails on drift.,S,Done,https://pypi.org/project/forecasting-tools/
M0-003,Repository Foundation,Add CI quality gate,"Run unit/schema tests, formatting and type checks on supported Python versions.",M0-001,High,Codex,Pull requests run deterministic offline checks and publish a clear pass/fail result.,S,Done,D15
M0-004,Repository Foundation,Create environment verifier,"Validate config, required directories and provider credentials without printing secret values.",M0-002; M0-005,Critical,Claude Code,`verify-env` reports missing variable names only; exits non-zero on invalid live-submit settings.,S,Done,D11; config.example.yaml
M0-005,Repository Foundation,Implement typed configuration,Create Pydantic settings matching config.example.yaml with safe defaults and cross-field validation.,M0-001,Critical,Claude Code,Valid example loads after replacing model placeholder; invalid live-submit combinations are rejected.,M,Done,D11; D27
M0-006,Documentation,Write local quick start,"Document venv, config, environment variables, dry run and test commands.",M0-004,Medium,Claude Code,A clean checkout can reach the offline dry-run fixture using only documented commands.,S,Done,CODEX_HANDOFF
M0-007,Repository Foundation,Sanitize PyYAML constructor failures in load_config,"config.load_config catches only yaml.YAMLError, but PyYAML's construction stage raises whatever Python raised at it: an out-of-range implicit timestamp (2026-02-30) raises ValueError, !!bool <junk> raises KeyError(<the value>), !!timestamp <junk> raises AttributeError, and deep flow nesting raises RecursionError. Two of those put file content in the message, so a secret pasted into config.yaml reaches the terminal in an unhandled traceback. Same defect and same fix as the one closed in research/allowlist.py at M1-308 round 7; found there, filed here because it is pre-existing on the diff base.",M0-005,Medium,Claude Code,"load_config translates every non-YAMLError failure of yaml.safe_load into a sanitized ConfigError raised from None; no value from the file appears in the message or the cause chain; regression tests cover the invalid implicit timestamp, the !!bool/!!int/!!timestamp explicit-tag shapes and deep flow nesting.",S,Done,M1-308 round-7 review; CLAUDE.md error hygiene
M0-101,Metaculus Integration,Wrap MetaculusClient construction,"Instantiate one client with configured base URL, token, timeout and pacing.",M0-005,Critical,Claude Code,Client uses METACULUS_TOKEN and configured pacing; secret is redacted from logs.,S,Done,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/helpers/metaculus_client.py
M0-102,Metaculus Integration,Fetch current MiniBench questions,Fetch open questions with configured tournament ID and group-question mode.,M0-101,Critical,Claude Code,Fixture and live-read modes return typed questions; current alias can be overridden without code changes.,M,Done,https://github.com/Metaculus/forecasting-tools/blob/main/forecasting_tools/helpers/metaculus_client.py | https://www.metaculus.com/tournament/minibench/
M0-103,Metaculus Integration,Save and reload question snapshots,Persist normalized API snapshots for deterministic replay and tests.,M0-102,High,Claude Code,Saved snapshot round-trips without network access and retains question/post/tournament IDs.,S,Done,D12
M0-104,Metaculus Integration,Add bot-testing-area fixture path,Support smoke-test targeting without changing MiniBench config.,M0-102,High,Claude Code,CLI can target `bot-testing-area` explicitly; production MiniBench remains unchanged.,S,Done,https://github.com/Metaculus/metac-bot-template/blob/main/main.py
M1-201,Question Normalization,Define canonical question model,Map package question objects into a stable internal schema.,M0-103,Critical,Claude Code,"Golden binary, multiple-choice and numeric fixtures validate and retain resolution fine print.",M,Done,D20; D21
M1-202,Question Normalization,Handle group-question unpacking,Preserve group parent identity while processing each subquestion as a forecastable record.,M1-201,High,Claude Code,Unpacked fixtures produce one unique internal question per subquestion and no duplicate IDs.,M,Done,https://github.com/Metaculus/forecasting-tools
M1-203,Question Normalization,Reject unsupported types safely,Flag date/conditional types as deferred instead of coercing or submitting.,M1-201,High,Claude Code,Unsupported types create a diagnostic event and make zero model/submission calls.,S,Done,D21
M1-204,Question Normalization,Gut the questions package __init__ re-export block,"questions/__init__.py re-exports every submodule, so importing whiskeyjack_bot.questions.model -- the canonical question schema, which imports no SDK itself -- transitively loads forecasting_tools, asknews_sdk, litellm, httpx and streamlit. Same defect and same fix as the one closed in research/__init__.py at M1-308 round 4, where it cost verify-env 7.0s and three stray warnings; gutting it there took the import to 0.204s. Pre-existing on master with no live symptom today (env_verify and cli import no canonical question, and test_env_verify.py's subprocess probe fails if that changes). Found while building M1-402, whose forecast/inputs.py inherits the coupling and documents it rather than fixing a merged module on a review branch.",M1-201,Low,Claude Code,"questions/__init__.py holds a one-line docstring and no re-exports; a fresh interpreter importing whiskeyjack_bot.questions.model loads none of forecasting_tools, asknews_sdk, litellm, httpx or streamlit; every existing importer of the removed names is updated to the submodule path; the four gates stay green.",S,Not Started,M1-402; M1-308 round-4 finding
M1-301,Retrieval,Define research-document schema,"Normalize provider results with stable source IDs, URLs, timestamps, hashes and reliability tags.",M0-005,Critical,Claude Code,"Pydantic schema preserves original URL, published/retrieved times and raw artifact reference.",M,Done,D17-D19
M1-302,Retrieval,Implement AskNews adapter,Retrieve current and historical news while retaining article-level provenance.,M1-301,Critical,Claude Code,Mocked call returns normalized documents; missing credentials fail before a paid call.,M,Done,https://docs.asknews.app/
M1-303,Retrieval,Implement Exa fallback,Use Exa only when AskNews fails or when official-source/web retrieval is required.,M1-301,High,Claude Code,Configured fallback records why it ran and preserves citations; no silent provider switching.,M,Done,https://exa.ai/pricing
M1-304,Retrieval,Add structured-source router,Bypass general retrieval for configured official datasets such as FRED and authoritative resolution sources.,M1-301,Medium,Claude Code,Router produces the same normalized document/observation format and records endpoint parameters.,M,Not Started,https://fred.stlouisfed.org/docs/api/fred/overview.html | D19
M1-305,Retrieval,Deduplicate and freshness-tag evidence,"Canonicalize URLs, hash content and mark documents outside the question-specific freshness window. Also owns URL-validation policy beyond basic absolute-http(s)-with-a-host syntax: M1-301 kept that validator minimal after three consecutive cross-model review regressions came out of extending it (a blanket Unicode-Cf ban broke valid IDN hostnames; the IDNA check that replaced it broke IPv6 literals), so consolidate the policy here with canonicalization rather than growing it in the schema.",M1-301,High,Claude Code,Duplicate reports collapse without losing provenance; stale evidence is flagged deterministically.,M,Done,D17
M1-306,Retrieval,Persist replayable retrieval runs,"Save queries, provider configs, raw responses, costs and normalized documents.",M1-302; M1-303,Critical,Claude Code,Replay produces zero provider calls and the same research packet hash.,M,Done,D12; D16
M1-307,Retrieval,Implement X retrieval adapter,"Retrieve primary-source X posts through the xAI X Search agent, retaining per-post citations.",M1-301; M1-308,High,Claude Code,Mocked completions produce normalized documents with correct reliability tags and provenance llm_reported; posts without a resolvable status URL are dropped and counted; the synthesis never becomes a document; missing XAI_API_KEY fails before any paid call; the Grok model identity is recorded on the research run.,L,Not Started,CLAUDE_CODE_PROMPT.md B; https://docs.x.ai
M1-308,Retrieval,Load the X account allowlist,Validate the provided config/x_accounts.yaml at startup and match its entries to question domains.,M0-005,High,Claude Code,The provided allowlist loads clean; duplicate usernames and unknown reliability tags fail config validation rather than retrieval; domain matching selects the correct account subset in at least two domains.,S,Done,CLAUDE_CODE_PROMPT.md B; config/x_accounts.yaml
M1-309,Retrieval,Harden the AskNews adapter's caller preflight,"Refuse malformed caller arguments before any billable AskNews call, matching the Exa adapter's round-4 preflight.",M1-302; M1-303,Medium,Claude Code,A bare string of queries and malformed run metadata are refused with the module's own error and zero provider calls; the preflight is shared with the Exa adapter rather than copied.,S,Done,PR #16 round-4 cross-model review
M1-310,Retrieval,Decide the terminal DNS root dot in canonicalize_url,"canonicalize_url preserves a terminal root dot, so https://bls.gov./x and https://bls.gov/x are two dedup keys for one page. M1-303 normalizes it locally for official-domain matching; the canonical form itself is document identity and is not changed on a review branch.",M1-305; M1-303,Medium,Claude Code,"Either canonicalize_url normalizes one terminal root dot and the identity change is recorded, or the dot is documented as identity-bearing with a rationale; dedup collapses the two spellings of one host iff that decision says it should.",S,Done,PR #16 round-5 cross-model review; D32
M1-311,Retrieval,Reject public-suffix-only official allowlists,"exa.retrieve_web refuses a single-label include_domains entry (""com"", ""gov"") because it would fake official attribution for every registrable domain under it, but a multi-label public suffix (""co.uk"", ""com.au"") is still accepted. Stated as a known residual in M1-303 rather than half-fixed on a review branch.",M1-303,Medium,Claude Code,"include_domains rejects public suffixes, including multi-label suffixes such as co.uk and com.au, before any provider call, while accepting registrable domains and their subdomains.",S,Not Started,PR #16 round-6 cross-model review
M1-312,Retrieval,Compose artifact and ledger persistence for a paid run,"research.store and research.artifacts are separate primitives, so the ordering rule that keeps a paid run recordable when its artifact write fails - write the artifact first, then persist the ledger row with raw_response_path NULL - lives only in a docstring and in the caller. M1-306 deliberately shipped the primitives without the composition, because the composed entry point belongs with the retrieval orchestrator that item does not ship.",M1-306,Medium,Claude Code,"One paid-result persistence API attempts artifact storage and still commits the run and its documents with raw_response_path NULL after an ordinary artifact I/O failure, and reports the audit loss to its caller rather than swallowing it.",S,Done,PR #26 round-1 cross-model review
